fake name,school,sex,race/ethnicity,academic engagement,Random Number,Selected (X),school,sex,race,academic engagement
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,233.1666667,0.001025794,X,Undergraduate Studies,female,Hispanic,233.1666667
"Lu, Mark",Engineering,male,Other,236.6666667,0.001043397,X,Engineering,male,Other,236.6666667
"Stoytcheva, Nicholas",Communication,male,White,240.1666667,0.001060999,X,Communication,male,White,240.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,243.6666667,0.001078601,X,Undergraduate Studies,female,Hispanic,243.6666667
"Lu, Mark",Engineering,male,Other,247.1666667,0.001096203,X,Engineering,male,Other,247.1666667
"Stoytcheva, Nicholas",Communication,male,White,250.6666667,0.001113805,X,Communication,male,White,250.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,254.1666667,0.001131408,X,Undergraduate Studies,female,Hispanic,254.1666667
"Lu, Mark",Engineering,male,Other,257.6666667,0.00114901,X,Engineering,male,Other,257.6666667
"Stoytcheva, Nicholas",Communication,male,White,261.1666667,0.001166612,X,Communication,male,White,261.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,264.6666667,0.001184214,X,Undergraduate Studies,female,Hispanic,264.6666667
"Lu, Mark",Engineering,male,Other,268.1666667,0.001201816,X,Engineering,male,Other,268.1666667
"Stoytcheva, Nicholas",Communication,male,White,271.6666667,0.001219418,X,Communication,male,White,271.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,275.1666667,0.001237021,X,Undergraduate Studies,female,Hispanic,275.1666667
"Lu, Mark",Engineering,male,Other,278.6666667,0.001254623,X,Engineering,male,Other,278.6666667
"Stoytcheva, Nicholas",Communication,male,White,282.1666667,0.001272225,X,Communication,male,White,282.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,285.6666667,0.001289827,X,Undergraduate Studies,female,Hispanic,285.6666667
"Lu, Mark",Engineering,male,Other,289.1666667,0.001307429,X,Engineering,male,Other,289.1666667
"Stoytcheva, Nicholas",Communication,male,White,292.6666667,0.001325031,X,Communication,male,White,292.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,296.1666667,0.001342634,X,Undergraduate Studies,female,Hispanic,296.1666667
"Lu, Mark",Engineering,male,Other,299.6666667,0.001360236,X,Engineering,male,Other,299.6666667
"Stoytcheva, Nicholas",Communication,male,White,303.1666667,0.001377838,X,Communication,male,White,303.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,306.6666667,0.00139544,X,Undergraduate Studies,female,Hispanic,306.6666667
"Lu, Mark",Engineering,male,Other,310.1666667,0.001413042,X,Engineering,male,Other,310.1666667
"Stoytcheva, Nicholas",Communication,male,White,313.6666667,0.001430645,X,Communication,male,White,313.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,317.1666667,0.001448247,X,Undergraduate Studies,female,Hispanic,317.1666667
"Lu, Mark",Engineering,male,Other,320.6666667,0.001465849,X,Engineering,male,Other,320.6666667
"Stoytcheva, Nicholas",Communication,male,White,324.1666667,0.001483451,X,Communication,male,White,324.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,327.6666667,0.001501053,X,Undergraduate Studies,female,Hispanic,327.6666667
"Lu, Mark",Engineering,male,Other,331.1666667,0.001518655,X,Engineering,male,Other,331.1666667
"Stoytcheva, Nicholas",Communication,male,White,334.6666667,0.001536258,X,Communication,male,White,334.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,338.1666667,0.00155386,X,Undergraduate Studies,female,Hispanic,338.1666667
"Lu, Mark",Engineering,male,Other,341.6666667,0.001571462,X,Engineering,male,Other,341.6666667
"Stoytcheva, Nicholas",Communication,male,White,345.1666667,0.001589064,X,Communication,male,White,345.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,348.6666667,0.001606666,X,Undergraduate Studies,female,Hispanic,348.6666667
"Lu, Mark",Engineering,male,Other,352.1666667,0.001624268,X,Engineering,male,Other,352.1666667
"Stoytcheva, Nicholas",Communication,male,White,355.6666667,0.001641871,X,Communication,male,White,355.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,359.1666667,0.001659473,X,Undergraduate Studies,female,Hispanic,359.1666667
"Lu, Mark",Engineering,male,Other,362.6666667,0.001677075,X,Engineering,male,Other,362.6666667
"Stoytcheva, Nicholas",Communication,male,White,366.1666667,0.001694677,X,Communication,male,White,366.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,369.6666667,0.001712279,X,Undergraduate Studies,female,Hispanic,369.6666667
"Lu, Mark",Engineering,male,Other,373.1666667,0.001729882,X,Engineering,male,Other,373.1666667
"Stoytcheva, Nicholas",Communication,male,White,376.6666667,0.001747484,X,Communication,male,White,376.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,380.1666667,0.001765086,X,Undergraduate Studies,female,Hispanic,380.1666667
"Lu, Mark",Engineering,male,Other,383.6666667,0.001782688,X,Engineering,male,Other,383.6666667
"Stoytcheva, Nicholas",Communication,male,White,387.1666667,0.00180029,X,Communication,male,White,387.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,390.6666667,0.001817892,X,Undergraduate Studies,female,Hispanic,390.6666667
"Lu, Mark",Engineering,male,Other,394.1666667,0.001835495,X,Engineering,male,Other,394.1666667
"Stoytcheva, Nicholas",Communication,male,White,397.6666667,0.001853097,X,Communication,male,White,397.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,401.1666667,0.001870699,X,Undergraduate Studies,female,Hispanic,401.1666667
"Lu, Mark",Engineering,male,Other,404.6666667,0.001888301,X,Engineering,male,Other,404.6666667
"Stoytcheva, Nicholas",Communication,male,White,408.1666667,0.001905903,X,Communication,male,White,408.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,411.6666667,0.001923505,X,Undergraduate Studies,female,Hispanic,411.6666667
"Lu, Mark",Engineering,male,Other,415.1666667,0.001941108,X,Engineering,male,Other,415.1666667
"Stoytcheva, Nicholas",Communication,male,White,418.6666667,0.00195871,X,Communication,male,White,418.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,422.1666667,0.001976312,X,Undergraduate Studies,female,Hispanic,422.1666667
"Lu, Mark",Engineering,male,Other,425.6666667,0.001993914,X,Engineering,male,Other,425.6666667
"Stoytcheva, Nicholas",Communication,male,White,429.1666667,0.002011516,X,Communication,male,White,429.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,432.6666667,0.002029119,X,Undergraduate Studies,female,Hispanic,432.6666667
"Lu, Mark",Engineering,male,Other,436.1666667,0.002046721,X,Engineering,male,Other,436.1666667
"Stoytcheva, Nicholas",Communication,male,White,439.6666667,0.002064323,X,Communication,male,White,439.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,443.1666667,0.002081925,X,Undergraduate Studies,female,Hispanic,443.1666667
"Lu, Mark",Engineering,male,Other,446.6666667,0.002099527,X,Engineering,male,Other,446.6666667
"Stoytcheva, Nicholas",Communication,male,White,450.1666667,0.002117129,X,Communication,male,White,450.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,453.6666667,0.002134732,X,Undergraduate Studies,female,Hispanic,453.6666667
"Lu, Mark",Engineering,male,Other,457.1666667,0.002152334,X,Engineering,male,Other,457.1666667
"Stoytcheva, Nicholas",Communication,male,White,460.6666667,0.002169936,X,Communication,male,White,460.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,464.1666667,0.002187538,X,Undergraduate Studies,female,Hispanic,464.1666667
"Lu, Mark",Engineering,male,Other,467.6666667,0.00220514,X,Engineering,male,Other,467.6666667
"Stoytcheva, Nicholas",Communication,male,White,471.1666667,0.002222742,X,Communication,male,White,471.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,474.6666667,0.002240345,X,Undergraduate Studies,female,Hispanic,474.6666667
"Lu, Mark",Engineering,male,Other,478.1666667,0.002257947,X,Engineering,male,Other,478.1666667
"Stoytcheva, Nicholas",Communication,male,White,481.6666667,0.002275549,X,Communication,male,White,481.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,485.1666667,0.002293151,X,Undergraduate Studies,female,Hispanic,485.1666667
"Lu, Mark",Engineering,male,Other,488.6666667,0.002310753,X,Engineering,male,Other,488.6666667
"Stoytcheva, Nicholas",Communication,male,White,492.1666667,0.002328356,X,Communication,male,White,492.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,495.6666667,0.002345958,X,Undergraduate Studies,female,Hispanic,495.6666667
"Lu, Mark",Engineering,male,Other,499.1666667,0.00236356,X,Engineering,male,Other,499.1666667
"Stoytcheva, Nicholas",Communication,male,White,502.6666667,0.002381162,X,Communication,male,White,502.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,506.1666667,0.002398764,X,Undergraduate Studies,female,Hispanic,506.1666667
"Lu, Mark",Engineering,male,Other,509.6666667,0.002416366,X,Engineering,male,Other,509.6666667
"Stoytcheva, Nicholas",Communication,male,White,513.1666667,0.002433969,X,Communication,male,White,513.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,516.6666667,0.002451571,X,Undergraduate Studies,female,Hispanic,516.6666667
"Lu, Mark",Engineering,male,Other,520.1666667,0.002469173,X,Engineering,male,Other,520.1666667
"Stoytcheva, Nicholas",Communication,male,White,523.6666667,0.002486775,X,Communication,male,White,523.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,527.1666667,0.002504377,X,Undergraduate Studies,female,Hispanic,527.1666667
"Lu, Mark",Engineering,male,Other,530.6666667,0.002521979,X,Engineering,male,Other,530.6666667
"Stoytcheva, Nicholas",Communication,male,White,534.1666667,0.002539582,X,Communication,male,White,534.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,537.6666667,0.002557184,X,Undergraduate Studies,female,Hispanic,537.6666667
"Lu, Mark",Engineering,male,Other,541.1666667,0.002574786,X,Engineering,male,Other,541.1666667
"Stoytcheva, Nicholas",Communication,male,White,544.6666667,0.002592388,X,Communication,male,White,544.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,548.1666667,0.00260999,X,Undergraduate Studies,female,Hispanic,548.1666667
"Lu, Mark",Engineering,male,Other,551.6666667,0.002627592,X,Engineering,male,Other,551.6666667
"Stoytcheva, Nicholas",Communication,male,White,555.1666667,0.002645195,X,Communication,male,White,555.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,558.6666667,0.002662797,X,Undergraduate Studies,female,Hispanic,558.6666667
"Lu, Mark",Engineering,male,Other,562.1666667,0.002680399,X,Engineering,male,Other,562.1666667
"Stoytcheva, Nicholas",Communication,male,White,565.6666667,0.002698001,X,Communication,male,White,565.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,569.1666667,0.002715603,X,Undergraduate Studies,female,Hispanic,569.1666667
"Lu, Mark",Engineering,male,Other,572.6666667,0.002733206,X,Engineering,male,Other,572.6666667
"Stoytcheva, Nicholas",Communication,male,White,576.1666667,0.002750808,X,Communication,male,White,576.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,579.6666667,0.00276841,X,Undergraduate Studies,female,Hispanic,579.6666667
"Lu, Mark",Engineering,male,Other,583.1666667,0.002786012,X,Engineering,male,Other,583.1666667
"Stoytcheva, Nicholas",Communication,male,White,586.6666667,0.002803614,X,Communication,male,White,586.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,590.1666667,0.002821216,X,Undergraduate Studies,female,Hispanic,590.1666667
"Lu, Mark",Engineering,male,Other,593.6666667,0.002838819,X,Engineering,male,Other,593.6666667
"Stoytcheva, Nicholas",Communication,male,White,597.1666667,0.002856421,X,Communication,male,White,597.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,600.6666667,0.002874023,X,Undergraduate Studies,female,Hispanic,600.6666667
"Lu, Mark",Engineering,male,Other,604.1666667,0.002891625,X,Engineering,male,Other,604.1666667
"Stoytcheva, Nicholas",Communication,male,White,607.6666667,0.002909227,X,Communication,male,White,607.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,611.1666667,0.002926829,X,Undergraduate Studies,female,Hispanic,611.1666667
"Lu, Mark",Engineering,male,Other,614.6666667,0.002944432,X,Engineering,male,Other,614.6666667
"Stoytcheva, Nicholas",Communication,male,White,618.1666667,0.002962034,X,Communication,male,White,618.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,621.6666667,0.002979636,X,Undergraduate Studies,female,Hispanic,621.6666667
"Lu, Mark",Engineering,male,Other,625.1666667,0.002997238,X,Engineering,male,Other,625.1666667
"Stoytcheva, Nicholas",Communication,male,White,628.6666667,0.00301484,X,Communication,male,White,628.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,632.1666667,0.003032443,X,Undergraduate Studies,female,Hispanic,632.1666667
"Lu, Mark",Engineering,male,Other,635.6666667,0.003050045,X,Engineering,male,Other,635.6666667
"Stoytcheva, Nicholas",Communication,male,White,639.1666667,0.003067647,X,Communication,male,White,639.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,642.6666667,0.003085249,X,Undergraduate Studies,female,Hispanic,642.6666667
"Lu, Mark",Engineering,male,Other,646.1666667,0.003102851,X,Engineering,male,Other,646.1666667
"Stoytcheva, Nicholas",Communication,male,White,649.6666667,0.003120453,X,Communication,male,White,649.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,653.1666667,0.003138056,X,Undergraduate Studies,female,Hispanic,653.1666667
"Lu, Mark",Engineering,male,Other,656.6666667,0.003155658,X,Engineering,male,Other,656.6666667
"Stoytcheva, Nicholas",Communication,male,White,660.1666667,0.00317326,X,Communication,male,White,660.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,663.6666667,0.003190862,X,Undergraduate Studies,female,Hispanic,663.6666667
"Lu, Mark",Engineering,male,Other,667.1666667,0.003208464,X,Engineering,male,Other,667.1666667
"Stoytcheva, Nicholas",Communication,male,White,670.6666667,0.003226066,X,Communication,male,White,670.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,674.1666667,0.003243669,X,Undergraduate Studies,female,Hispanic,674.1666667
"Lu, Mark",Engineering,male,Other,677.6666667,0.003261271,X,Engineering,male,Other,677.6666667
"Stoytcheva, Nicholas",Communication,male,White,681.1666667,0.003278873,X,Communication,male,White,681.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,684.6666667,0.003296475,X,Undergraduate Studies,female,Hispanic,684.6666667
"Lu, Mark",Engineering,male,Other,688.1666667,0.003314077,X,Engineering,male,Other,688.1666667
"Stoytcheva, Nicholas",Communication,male,White,691.6666667,0.00333168,X,Communication,male,White,691.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,695.1666667,0.003349282,X,Undergraduate Studies,female,Hispanic,695.1666667
"Lu, Mark",Engineering,male,Other,698.6666667,0.003366884,X,Engineering,male,Other,698.6666667
"Stoytcheva, Nicholas",Communication,male,White,702.1666667,0.003384486,X,Communication,male,White,702.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,705.6666667,0.003402088,X,Undergraduate Studies,female,Hispanic,705.6666667
"Lu, Mark",Engineering,male,Other,709.1666667,0.00341969,X,Engineering,male,Other,709.1666667
"Stoytcheva, Nicholas",Communication,male,White,712.6666667,0.003437293,X,Communication,male,White,712.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,716.1666667,0.003454895,X,Undergraduate Studies,female,Hispanic,716.1666667
"Lu, Mark",Engineering,male,Other,719.6666667,0.003472497,X,Engineering,male,Other,719.6666667
"Stoytcheva, Nicholas",Communication,male,White,723.1666667,0.003490099,X,Communication,male,White,723.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,726.6666667,0.003507701,X,Undergraduate Studies,female,Hispanic,726.6666667
"Lu, Mark",Engineering,male,Other,730.1666667,0.003525303,X,Engineering,male,Other,730.1666667
"Stoytcheva, Nicholas",Communication,male,White,733.6666667,0.003542906,X,Communication,male,White,733.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,737.1666667,0.003560508,X,Undergraduate Studies,female,Hispanic,737.1666667
"Lu, Mark",Engineering,male,Other,740.6666667,0.00357811,X,Engineering,male,Other,740.6666667
"Stoytcheva, Nicholas",Communication,male,White,744.1666667,0.003595712,X,Communication,male,White,744.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,747.6666667,0.003613314,X,Undergraduate Studies,female,Hispanic,747.6666667
"Lu, Mark",Engineering,male,Other,751.1666667,0.003630917,X,Engineering,male,Other,751.1666667
"Stoytcheva, Nicholas",Communication,male,White,754.6666667,0.003648519,X,Communication,male,White,754.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,758.1666667,0.003666121,X,Undergraduate Studies,female,Hispanic,758.1666667
"Lu, Mark",Engineering,male,Other,761.6666667,0.003683723,X,Engineering,male,Other,761.6666667
"Stoytcheva, Nicholas",Communication,male,White,765.1666667,0.003701325,X,Communication,male,White,765.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,768.6666667,0.003718927,X,Undergraduate Studies,female,Hispanic,768.6666667
"Lu, Mark",Engineering,male,Other,772.1666667,0.00373653,X,Engineering,male,Other,772.1666667
"Stoytcheva, Nicholas",Communication,male,White,775.6666667,0.003754132,X,Communication,male,White,775.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,779.1666667,0.003771734,X,Undergraduate Studies,female,Hispanic,779.1666667
"Lu, Mark",Engineering,male,Other,782.6666667,0.003789336,X,Engineering,male,Other,782.6666667
"Stoytcheva, Nicholas",Communication,male,White,786.1666667,0.003806938,X,Communication,male,White,786.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,789.6666667,0.00382454,X,Undergraduate Studies,female,Hispanic,789.6666667
"Lu, Mark",Engineering,male,Other,793.1666667,0.003842143,X,Engineering,male,Other,793.1666667
"Stoytcheva, Nicholas",Communication,male,White,796.6666667,0.003859745,X,Communication,male,White,796.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,800.1666667,0.003877347,X,Undergraduate Studies,female,Hispanic,800.1666667
"Lu, Mark",Engineering,male,Other,803.6666667,0.003894949,X,Engineering,male,Other,803.6666667
"Stoytcheva, Nicholas",Communication,male,White,807.1666667,0.003912551,X,Communication,male,White,807.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,810.6666667,0.003930154,X,Undergraduate Studies,female,Hispanic,810.6666667
"Lu, Mark",Engineering,male,Other,814.1666667,0.003947756,X,Engineering,male,Other,814.1666667
"Stoytcheva, Nicholas",Communication,male,White,817.6666667,0.003965358,X,Communication,male,White,817.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,821.1666667,0.00398296,X,Undergraduate Studies,female,Hispanic,821.1666667
"Lu, Mark",Engineering,male,Other,824.6666667,0.004000562,X,Engineering,male,Other,824.6666667
"Stoytcheva, Nicholas",Communication,male,White,828.1666667,0.004018164,X,Communication,male,White,828.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,831.6666667,0.004035767,X,Undergraduate Studies,female,Hispanic,831.6666667
"Lu, Mark",Engineering,male,Other,835.1666667,0.004053369,X,Engineering,male,Other,835.1666667
"Stoytcheva, Nicholas",Communication,male,White,838.6666667,0.004070971,X,Communication,male,White,838.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,842.1666667,0.004088573,X,Undergraduate Studies,female,Hispanic,842.1666667
"Lu, Mark",Engineering,male,Other,845.6666667,0.004106175,X,Engineering,male,Other,845.6666667
"Stoytcheva, Nicholas",Communication,male,White,849.1666667,0.004123777,X,Communication,male,White,849.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,852.6666667,0.00414138,X,Undergraduate Studies,female,Hispanic,852.6666667
"Lu, Mark",Engineering,male,Other,856.1666667,0.004158982,X,Engineering,male,Other,856.1666667
"Stoytcheva, Nicholas",Communication,male,White,859.6666667,0.004176584,X,Communication,male,White,859.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,863.1666667,0.004194186,X,Undergraduate Studies,female,Hispanic,863.1666667
"Lu, Mark",Engineering,male,Other,866.6666667,0.004211788,X,Engineering,male,Other,866.6666667
"Stoytcheva, Nicholas",Communication,male,White,870.1666667,0.00422939,X,Communication,male,White,870.1666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,873.6666667,0.004246993,X,Undergraduate Studies,female,Hispanic,873.6666667
"Lu, Mark",Engineering,male,Other,877.1666667,0.004264595,X,Engineering,male,Other,877.1666667
"Stoytcheva, Nicholas",Communication,male,White,880.6666667,0.004282197,X,Communication,male,White,880.6666667
"Escobedo, Vibiana",Undergraduate Studies,female,Hispanic,884.1666667,0.004299799,X,Undergraduate Studies,female,Hispanic,884.1666667
"Lu, Mark",Engineering,male,Other,887.6666667,0.004317401,X,Engineering,male,Other,887.6666667
"Stoytcheva, Nicholas",Communication,male,White,891.1666667,0.004335004,X,Communication,male,White,891.1666667
