fake.name,sector,pretest,state,gender,pre,email,phone
Fujinami,NGO,1281,TX,M,Medium,Fujinami@...com,xxx-xx-2941
Gonzalez-Ortega,Education,1391,CA,M,High,Gonzalez-Ortega@...com,xxx-xx-5933
Hening,Industry,1273,TX,M,Medium,Hening@...com,xxx-xx-2819
Lathrop,Industry,1334,CA,F,Medium,Lathrop@...com,xxx-xx-3280
Mather,NGO,1324,NY,F,Medium,Mather@...com,xxx-xx-2965
Jones,Public,1413,CA,M,High,Jones@...com,xxx-xx-9560
Nguyen,NGO,1163,NY,F,Low,Nguyen@...com,xxx-xx-5181
Dill,Education,1159,TX,M,Low,Dill@...com,xxx-xx-6602
Castruita,Private,1186,NY,M,Low,Castruita@...com,xxx-xx-6741
Thomas,NGO,1296,NY,F,Medium,Thomas@...com,xxx-xx-9546
Jones,Education,1403,CA,M,High,Jones@...com,xxx-xx-6938
Banks,Industry,1159,CA,M,Low,Banks@...com,xxx-xx-7955
Gutierrez-Ochoa,Private,1244,CA,M,Low,Gutierrez-Ochoa@...com,xxx-xx-9552
el-Ebrahim,Public,1267,TX,F,Medium,el-Ebrahim@...com,xxx-xx-7901
Ellison,NGO,1319,CA,M,Medium,Ellison@...com,xxx-xx-3865
al-Usman,Public,1264,NY,F,Medium,al-Usman@...com,xxx-xx-9942
Obluda,Public,1428,TX,M,High,Obluda@...com,xxx-xx-1218
Nevarez-Corral,Private,1309,CA,F,Medium,Nevarez-Corral@...com,xxx-xx-9326
Adam,Industry,1344,CA,M,Medium,Adam@...com,xxx-xx-1531
West,Public,1209,CA,F,Low,West@...com,xxx-xx-4122
el-Assaf,NGO,1162,TX,F,Low,el-Assaf@...com,xxx-xx-7610
al-Popal,Education,1478,NY,F,High,al-Popal@...com,xxx-xx-3177
Plunkett,Public,1258,NY,M,Medium,Plunkett@...com,xxx-xx-6935
Williams,Industry,1268,CA,F,Medium,Williams@...com,xxx-xx-8232
el-Beshara,NGO,1213,CA,F,Low,el-Beshara@...com,xxx-xx-6931
Bugarin Jr,Education,1362,CA,M,High,Bugarin Jr@...com,xxx-xx-5454
Sleeper,NGO,1539,TX,M,High,Sleeper@...com,xxx-xx-3152
al-Akram,Industry,1411,CA,M,High,al-Akram@...com,xxx-xx-2147
Nguyen,Private,1255,NY,M,Medium,Nguyen@...com,xxx-xx-2100
Sena,Private,1394,TX,M,High,Sena@...com,xxx-xx-2241
Johnson,NGO,1392,TX,F,High,Johnson@...com,xxx-xx-2217
Levine,Public,1022,NY,M,Low,Levine@...com,xxx-xx-5114
Uribe-Bermudez,NGO,1381,TX,M,High,Uribe-Bermudez@...com,xxx-xx-9464
Roberts,NGO,1375,TX,M,High,Roberts@...com,xxx-xx-1417
Miller,Private,1410,NY,F,High,Miller@...com,xxx-xx-7562
Gay,NGO,1281,CA,M,Medium,Gay@...com,xxx-xx-1866
Reed,Education,1359,CA,M,High,Reed@...com,xxx-xx-5498
al-Ishmael,Education,1325,TX,F,Medium,al-Ishmael@...com,xxx-xx-4820
Rust,Private,1309,CA,M,Medium,Rust@...com,xxx-xx-6896
al-Mansouri,Public,1224,TX,F,Low,al-Mansouri@...com,xxx-xx-1817
Wang,Private,1415,NY,F,High,Wang@...com,xxx-xx-5729
Mancini,Education,1311,TX,F,Medium,Mancini@...com,xxx-xx-1663
White Bear,Education,1481,NY,M,High,White Bear@...com,xxx-xx-1718
Lam,Private,1336,TX,M,Medium,Lam@...com,xxx-xx-1499
Nagamoto,Industry,1429,NY,M,High,Nagamoto@...com,xxx-xx-4044
Kim,Education,1219,TX,F,Low,Kim@...com,xxx-xx-7815
Cajero,Education,1284,CA,M,Medium,Cajero@...com,xxx-xx-7372
Villagomez,NGO,1335,TX,M,Medium,Villagomez@...com,xxx-xx-9614
Martinez,Private,1245,TX,F,Low,Martinez@...com,xxx-xx-9158
Kacmarsky,Public,1225,NY,M,Low,Kacmarsky@...com,xxx-xx-9612
Fierro,Public,1419,TX,F,High,Fierro@...com,xxx-xx-4597
Brooks,NGO,1079,TX,M,Low,Brooks@...com,xxx-xx-4699
Velez,Private,1490,CA,M,High,Velez@...com,xxx-xx-6135
Huang,Industry,1376,CA,F,High,Huang@...com,xxx-xx-9695
Almanzan,Private,1448,TX,M,High,Almanzan@...com,xxx-xx-1784
Thomas,Public,1111,CA,F,Low,Thomas@...com,xxx-xx-7788
Pesick,Private,1286,TX,F,Medium,Pesick@...com,xxx-xx-8130
el-Naderi,Education,1317,CA,M,Medium,el-Naderi@...com,xxx-xx-9052
Pittman,Private,1454,TX,M,High,Pittman@...com,xxx-xx-2571
el-Molla,NGO,1419,NY,M,High,el-Molla@...com,xxx-xx-5400
Casillas-Vazquez,Industry,1300,NY,M,Medium,Casillas-Vazquez@...com,xxx-xx-2832
William,Education,1293,TX,M,Medium,William@...com,xxx-xx-3460
Virden,Private,1159,NY,M,Low,Virden@...com,xxx-xx-5224
Olivas,Public,1260,TX,M,Medium,Olivas@...com,xxx-xx-1308
Franco,Industry,1311,TX,M,Medium,Franco@...com,xxx-xx-8891
Alvarado-Rodriguez,Education,1297,CA,F,Medium,Alvarado-Rodriguez@...com,xxx-xx-5077
Ahmed,NGO,1439,TX,F,High,Ahmed@...com,xxx-xx-8145
Edgar,Private,1291,CA,F,Medium,Edgar@...com,xxx-xx-9632
Bluejacket,Private,1209,TX,F,Low,Bluejacket@...com,xxx-xx-4188
Bird,Private,1357,NY,M,High,Bird@...com,xxx-xx-1469
Castaneda,Industry,1501,CA,M,High,Castaneda@...com,xxx-xx-2359
Kuck,Industry,1156,NY,F,Low,Kuck@...com,xxx-xx-2821
Begay,Education,1372,TX,F,High,Begay@...com,xxx-xx-2789
Gonzalez Torres,NGO,1351,TX,M,High,Gonzalez Torres@...com,xxx-xx-9540
Mowers,Industry,1176,CA,M,Low,Mowers@...com,xxx-xx-9065
Smith,Private,1299,TX,M,Medium,Smith@...com,xxx-xx-4143
Serrano,Private,1282,CA,F,Medium,Serrano@...com,xxx-xx-5685
Cebrun,Industry,1346,CA,F,Medium,Cebrun@...com,xxx-xx-9665
Banks,Public,1163,NY,F,Low,Banks@...com,xxx-xx-9612
Thai,Education,1227,TX,M,Low,Thai@...com,xxx-xx-6047
Morin,Industry,1426,TX,F,High,Morin@...com,xxx-xx-1454
Buford,Private,1363,CA,M,High,Buford@...com,xxx-xx-7499
Cerdenola,Private,1262,CA,M,Medium,Cerdenola@...com,xxx-xx-8792
al-Momin,Industry,1456,TX,F,High,al-Momin@...com,xxx-xx-4305
Jones,Private,1006,CA,M,Low,Jones@...com,xxx-xx-7216
White,Education,1244,NY,F,Low,White@...com,xxx-xx-9206
Naylor,Industry,1251,CA,M,Medium,Naylor@...com,xxx-xx-5157
el-Farran,Public,1524,CA,F,High,el-Farran@...com,xxx-xx-5485
Walker-Brian,Public,1131,NY,F,Low,Walker-Brian@...com,xxx-xx-6986
Compton,Industry,1365,TX,F,High,Compton@...com,xxx-xx-2128
Garduno,Education,1258,NY,M,Medium,Garduno@...com,xxx-xx-6446
el-Mansour,Public,1211,CA,M,Low,el-Mansour@...com,xxx-xx-7808
Martinez,Education,1526,NY,F,High,Martinez@...com,xxx-xx-9173
Mcginnis,Industry,1181,TX,F,Low,Mcginnis@...com,xxx-xx-5095
Irwin,Industry,1477,CA,F,High,Irwin@...com,xxx-xx-7886
Mckee,NGO,1360,NY,M,High,Mckee@...com,xxx-xx-5083
Martinez,Industry,1309,NY,F,Medium,Martinez@...com,xxx-xx-3109
Doan,Private,1332,CA,F,Medium,Doan@...com,xxx-xx-2171
Belk,NGO,1124,NY,F,Low,Belk@...com,xxx-xx-1796
Wright,Public,1358,CA,M,High,Wright@...com,xxx-xx-3857
Jones,Education,1420,NY,F,High,Jones@...com,xxx-xx-5071
al-Fayad,NGO,1191,CA,M,Low,al-Fayad@...com,xxx-xx-6056
Bankster,Industry,1396,NY,M,High,Bankster@...com,xxx-xx-8451
Grove,Public,1351,TX,F,High,Grove@...com,xxx-xx-6387
Mullins,NGO,1306,TX,M,Medium,Mullins@...com,xxx-xx-3761
Hansen,Public,1195,TX,F,Low,Hansen@...com,xxx-xx-9801
Zhou,NGO,1338,TX,F,Medium,Zhou@...com,xxx-xx-2264
Latimer,NGO,1279,CA,F,Medium,Latimer@...com,xxx-xx-8811
Brown,Education,1218,CA,F,Low,Brown@...com,xxx-xx-5181
al-Zahra,Education,1236,CA,F,Low,al-Zahra@...com,xxx-xx-3264
Roodani,Education,1418,CA,F,High,Roodani@...com,xxx-xx-3155
Wang,Industry,1127,CA,F,Low,Wang@...com,xxx-xx-7414
el-Majeed,Industry,1292,NY,F,Medium,el-Majeed@...com,xxx-xx-6389
Miller Jr,NGO,1367,NY,F,High,Miller Jr@...com,xxx-xx-9942
Contreras,NGO,1274,NY,M,Medium,Contreras@...com,xxx-xx-8150
al-Iman,Industry,1454,CA,M,High,al-Iman@...com,xxx-xx-6457
Lucero-Roller,Education,1351,TX,M,High,Lucero-Roller@...com,xxx-xx-6728
Stahl,Private,1206,TX,M,Low,Stahl@...com,xxx-xx-2759
Freeman,Industry,1275,TX,M,Medium,Freeman@...com,xxx-xx-6703
Wang,NGO,1314,CA,F,Medium,Wang@...com,xxx-xx-6684
al-Akbar,Private,1130,TX,F,Low,al-Akbar@...com,xxx-xx-5663
Leber,Private,1268,NY,F,Medium,Leber@...com,xxx-xx-5074
Lott,Education,1390,CA,F,High,Lott@...com,xxx-xx-6473
el-Hassan,Private,1192,TX,M,Low,el-Hassan@...com,xxx-xx-8524
John III,NGO,1186,CA,F,Low,John III@...com,xxx-xx-5211
el-Abdo,NGO,1270,TX,M,Medium,el-Abdo@...com,xxx-xx-4069
Ferguson,Education,1299,TX,F,Medium,Ferguson@...com,xxx-xx-6352
Kanapilly,NGO,1220,NY,M,Low,Kanapilly@...com,xxx-xx-8438
Beckner,Public,1285,NY,F,Medium,Beckner@...com,xxx-xx-1461
el-Zamani,Education,1389,NY,M,High,el-Zamani@...com,xxx-xx-7442
Le,Private,1424,TX,M,High,Le@...com,xxx-xx-5048
al-Mansoor,Private,1259,CA,F,Medium,al-Mansoor@...com,xxx-xx-7656
Johnson,Industry,1366,CA,F,High,Johnson@...com,xxx-xx-8887
Williams,Private,1251,TX,F,Medium,Williams@...com,xxx-xx-3032
Johnson,NGO,1212,CA,M,Low,Johnson@...com,xxx-xx-1730
Ali,Education,1331,TX,M,Medium,Ali@...com,xxx-xx-8038
el-Islam,Private,1408,TX,M,High,el-Islam@...com,xxx-xx-3812
Vea,Industry,1329,TX,F,Medium,Vea@...com,xxx-xx-4804
Nortey,Education,1437,CA,M,High,Nortey@...com,xxx-xx-5770
Darnell,NGO,1382,CA,F,High,Darnell@...com,xxx-xx-1965
Walker,Industry,1432,NY,M,High,Walker@...com,xxx-xx-7192
al-Shams,Industry,1255,CA,F,Medium,al-Shams@...com,xxx-xx-6590
Ofsowitz,Private,1529,TX,M,High,Ofsowitz@...com,xxx-xx-6792
Thompkins,Public,1225,CA,M,Low,Thompkins@...com,xxx-xx-9482
Carrillo,NGO,1412,NY,M,High,Carrillo@...com,xxx-xx-5748
Galindo Vazquez,Education,1263,TX,M,Medium,Galindo Vazquez@...com,xxx-xx-9438
Hernandez,Public,1438,TX,F,High,Hernandez@...com,xxx-xx-3481
Kearns,NGO,1517,TX,M,High,Kearns@...com,xxx-xx-7884
al-Habibi,Industry,1264,NY,F,Medium,al-Habibi@...com,xxx-xx-4387
Lee,Education,1311,TX,F,Medium,Lee@...com,xxx-xx-4417
Trujillo-Garcia,Industry,1304,TX,M,Medium,Trujillo-Garcia@...com,xxx-xx-3721
Lind,Industry,1277,TX,F,Medium,Lind@...com,xxx-xx-3883
el-Ayoub,NGO,1375,NY,F,High,el-Ayoub@...com,xxx-xx-1055
Ortiz,NGO,1318,TX,F,Medium,Ortiz@...com,xxx-xx-8192
Blair,Education,1371,NY,M,High,Blair@...com,xxx-xx-1933
Liggett,Private,1283,NY,F,Medium,Liggett@...com,xxx-xx-8639
Rheuff,Public,1249,CA,M,Low,Rheuff@...com,xxx-xx-9108
Ehrlich,Industry,1227,NY,F,Low,Ehrlich@...com,xxx-xx-5589
Aguirre,Education,1268,NY,M,Medium,Aguirre@...com,xxx-xx-8882
Mosley,Industry,1274,TX,F,Medium,Mosley@...com,xxx-xx-4551
Reyes,Public,1248,NY,M,Low,Reyes@...com,xxx-xx-6122
Aldana,Education,1345,TX,F,Medium,Aldana@...com,xxx-xx-7802
Horne,NGO,1068,CA,M,Low,Horne@...com,xxx-xx-5256
Dilley,NGO,1276,TX,M,Medium,Dilley@...com,xxx-xx-1126
Kim,Private,1397,TX,M,High,Kim@...com,xxx-xx-1716
Moonlight,NGO,1424,CA,M,High,Moonlight@...com,xxx-xx-8714
Cook,Industry,1295,TX,M,Medium,Cook@...com,xxx-xx-8446
Boese,Private,1488,CA,M,High,Boese@...com,xxx-xx-1675
Swan,NGO,1342,TX,F,Medium,Swan@...com,xxx-xx-7518
el-Greiss,Public,1456,NY,F,High,el-Greiss@...com,xxx-xx-6794
Cuevas,Education,1452,NY,M,High,Cuevas@...com,xxx-xx-1147
Dominguez,Education,1444,CA,M,High,Dominguez@...com,xxx-xx-1120
Cho,Industry,1376,TX,F,High,Cho@...com,xxx-xx-9360
Lopez Jr,NGO,1391,TX,F,High,Lopez Jr@...com,xxx-xx-9789
Lovern,Public,1326,TX,F,Medium,Lovern@...com,xxx-xx-2490
Henderson,Industry,1228,TX,M,Low,Henderson@...com,xxx-xx-3814
el-Ahmad,Private,1215,TX,F,Low,el-Ahmad@...com,xxx-xx-2114
Raiha,Industry,1330,NY,M,Medium,Raiha@...com,xxx-xx-7307
el-Salehi,Industry,1141,TX,F,Low,el-Salehi@...com,xxx-xx-4615
Staggs,Public,1318,NY,M,Medium,Staggs@...com,xxx-xx-4550
Abeyta,Education,1352,TX,F,High,Abeyta@...com,xxx-xx-7524
el-Sabir,Private,1140,TX,F,Low,el-Sabir@...com,xxx-xx-1435
Thompson,NGO,1303,CA,M,Medium,Thompson@...com,xxx-xx-3136
Godfrey,Public,1535,CA,M,High,Godfrey@...com,xxx-xx-9136
al-Saade,Private,1274,TX,F,Medium,al-Saade@...com,xxx-xx-1532
Wilson,Industry,1186,TX,F,Low,Wilson@...com,xxx-xx-3751
Marquez,Public,1252,TX,F,Medium,Marquez@...com,xxx-xx-6591
Kodicherla,Public,1148,CA,M,Low,Kodicherla@...com,xxx-xx-6190
Pyne,Public,1104,TX,F,Low,Pyne@...com,xxx-xx-7458
Espinoza-Zirate,Industry,1285,TX,F,Medium,Espinoza-Zirate@...com,xxx-xx-9410
Mcintyre,Education,1394,NY,F,High,Mcintyre@...com,xxx-xx-4564
Liquete,NGO,1421,CA,F,High,Liquete@...com,xxx-xx-1569
Dumaoal,Industry,1356,CA,F,High,Dumaoal@...com,xxx-xx-7975
Chu,Industry,1252,TX,M,Medium,Chu@...com,xxx-xx-2925
Johnson,NGO,1266,NY,F,Medium,Johnson@...com,xxx-xx-6665
Lee,Public,1211,NY,F,Low,Lee@...com,xxx-xx-2812
Henderson,NGO,1249,NY,F,Low,Henderson@...com,xxx-xx-8680
Dechant,Private,1368,TX,F,High,Dechant@...com,xxx-xx-3832
al-Tahir,Public,1426,CA,F,High,al-Tahir@...com,xxx-xx-8884
al-Pasha,Private,1361,TX,F,High,al-Pasha@...com,xxx-xx-6693
el-Masri,Industry,1332,CA,F,Medium,el-Masri@...com,xxx-xx-8980
Watts,NGO,1320,NY,M,Medium,Watts@...com,xxx-xx-6160
al-Tariq,Education,1470,TX,M,High,al-Tariq@...com,xxx-xx-8559
Lehman,Industry,1276,NY,F,Medium,Lehman@...com,xxx-xx-9472
Yujiri,Industry,1175,NY,M,Low,Yujiri@...com,xxx-xx-5062
Roybal,Industry,1272,CA,F,Medium,Roybal@...com,xxx-xx-8917
Jones,Public,1290,TX,F,Medium,Jones@...com,xxx-xx-5729
el-Rahim,Education,1255,CA,F,Medium,el-Rahim@...com,xxx-xx-1723
Tubbs,NGO,1457,TX,M,High,Tubbs@...com,xxx-xx-2353
Jimenez,Industry,1236,CA,M,Low,Jimenez@...com,xxx-xx-9683
Martinez,NGO,1397,TX,F,High,Martinez@...com,xxx-xx-7163
Mcwhorter,NGO,1361,NY,F,High,Mcwhorter@...com,xxx-xx-4254
Valverde,Education,1315,NY,M,Medium,Valverde@...com,xxx-xx-5663
el-Tariq,Public,1142,CA,M,Low,el-Tariq@...com,xxx-xx-6198
Kaiser,Education,1215,NY,F,Low,Kaiser@...com,xxx-xx-9705
Rockrohr,Public,1286,TX,F,Medium,Rockrohr@...com,xxx-xx-7016
Salazar,NGO,1329,TX,M,Medium,Salazar@...com,xxx-xx-3015
Zhang,Education,1583,NY,M,High,Zhang@...com,xxx-xx-1131
al-Greiss,Industry,1366,CA,F,High,al-Greiss@...com,xxx-xx-7185
Ransom,NGO,1161,TX,F,Low,Ransom@...com,xxx-xx-6093
Carter,Private,1339,TX,F,Medium,Carter@...com,xxx-xx-2658
King,NGO,1329,CA,F,Medium,King@...com,xxx-xx-7067
el-Abood,NGO,1358,NY,M,High,el-Abood@...com,xxx-xx-7437
Gamez-Ortiz,Education,1103,CA,F,Low,Gamez-Ortiz@...com,xxx-xx-3311
Owen,Education,1309,CA,M,Medium,Owen@...com,xxx-xx-7320
Hollins,NGO,1247,TX,F,Low,Hollins@...com,xxx-xx-6039
Brown,NGO,1362,TX,M,High,Brown@...com,xxx-xx-2838
Stainbrook,Education,1378,TX,F,High,Stainbrook@...com,xxx-xx-4504
Bonser,Industry,1348,NY,M,Medium,Bonser@...com,xxx-xx-2837
Agnew,NGO,1124,CA,M,Low,Agnew@...com,xxx-xx-6258
Trainer,Industry,1146,CA,F,Low,Trainer@...com,xxx-xx-9511
al-Adel,NGO,1259,CA,M,Medium,al-Adel@...com,xxx-xx-5210
Flynn,Industry,1221,TX,F,Low,Flynn@...com,xxx-xx-7594
D Attilo,Education,1337,CA,F,Medium,D Attilo@...com,xxx-xx-7989
Shrestha,Private,1305,CA,M,Medium,Shrestha@...com,xxx-xx-7302
Kemp,NGO,1464,NY,M,High,Kemp@...com,xxx-xx-3166
Im,Private,1283,CA,M,Medium,Im@...com,xxx-xx-3542
Gardella,Public,1271,NY,F,Medium,Gardella@...com,xxx-xx-6913
Jones,Private,1141,NY,F,Low,Jones@...com,xxx-xx-9300
Jones,Public,1186,CA,F,Low,Jones@...com,xxx-xx-4759
Karnath,Public,1238,NY,F,Low,Karnath@...com,xxx-xx-7662
Castaneda,NGO,1328,NY,M,Medium,Castaneda@...com,xxx-xx-3586
al-Asmar,Public,1387,CA,M,High,al-Asmar@...com,xxx-xx-9944
Fell,Public,1340,TX,M,Medium,Fell@...com,xxx-xx-5906
Freeland,Public,1262,TX,M,Medium,Freeland@...com,xxx-xx-8934
Cloud,Industry,1286,TX,M,Medium,Cloud@...com,xxx-xx-1392
Bird,Education,1428,TX,M,High,Bird@...com,xxx-xx-9839
Hill,Public,1368,CA,M,High,Hill@...com,xxx-xx-8045
Mireles Alvarez,Public,1219,NY,F,Low,Mireles Alvarez@...com,xxx-xx-8922
al-Sadek,NGO,1353,TX,F,High,al-Sadek@...com,xxx-xx-5207
Grover,Industry,1204,NY,M,Low,Grover@...com,xxx-xx-6146
Minder,Private,1453,CA,M,High,Minder@...com,xxx-xx-5317
Idris,Education,1491,CA,F,High,Idris@...com,xxx-xx-7409
Rich,Education,1438,CA,F,High,Rich@...com,xxx-xx-5253
Vann,Public,1444,NY,M,High,Vann@...com,xxx-xx-4387
Head-Cardena,Education,1364,TX,F,High,Head-Cardena@...com,xxx-xx-3777
Barrett,Industry,1364,NY,F,High,Barrett@...com,xxx-xx-3015
Gomez,NGO,1471,NY,F,High,Gomez@...com,xxx-xx-8342
Martinez,NGO,1315,NY,M,Medium,Martinez@...com,xxx-xx-7102
Aguilar,Private,1413,NY,M,High,Aguilar@...com,xxx-xx-8333
Strong,Public,1534,NY,M,High,Strong@...com,xxx-xx-5435
Perez Puga,Industry,1383,TX,M,High,Perez Puga@...com,xxx-xx-7235
Bolyard,Private,1371,NY,F,High,Bolyard@...com,xxx-xx-6771
Beyes,Industry,1271,CA,F,Medium,Beyes@...com,xxx-xx-1098
Rodgers,Education,1393,CA,M,High,Rodgers@...com,xxx-xx-8683
Lumpkin,Industry,1330,TX,F,Medium,Lumpkin@...com,xxx-xx-8982
Schrock,Public,1142,CA,F,Low,Schrock@...com,xxx-xx-4199
Rodriguez,Private,1416,NY,F,High,Rodriguez@...com,xxx-xx-4821
Brown,Industry,1340,TX,F,Medium,Brown@...com,xxx-xx-9089
Powers,NGO,1270,TX,M,Medium,Powers@...com,xxx-xx-7988
Huynh,Private,1272,TX,F,Medium,Huynh@...com,xxx-xx-6762
Morales,Public,1241,NY,M,Low,Morales@...com,xxx-xx-8804
Jaramillo,Private,1183,TX,F,Low,Jaramillo@...com,xxx-xx-2189
al-Azizi,Education,1310,TX,M,Medium,al-Azizi@...com,xxx-xx-2458
Arrington,Public,1382,NY,F,High,Arrington@...com,xxx-xx-6116
Graham-Carrillo,Industry,1332,CA,F,Medium,Graham-Carrillo@...com,xxx-xx-2775
Lowe,Private,1241,TX,F,Low,Lowe@...com,xxx-xx-1115
Nguyen,Private,1359,TX,M,High,Nguyen@...com,xxx-xx-8359
Bradley,NGO,1225,NY,F,Low,Bradley@...com,xxx-xx-9089
el-Badie,Public,1426,TX,M,High,el-Badie@...com,xxx-xx-4156
Smith,Public,1251,NY,M,Medium,Smith@...com,xxx-xx-2748
Herman,Industry,1157,CA,F,Low,Herman@...com,xxx-xx-2325
Lynn,Industry,1204,NY,F,Low,Lynn@...com,xxx-xx-2846
